url,impr,impr_prev,pos,pos_prev,clics,clics_prev
/product/semaglutida-20mg/,6,0,9.333333333333334,,0,0
/product/sermorelina-10mg/,6,0,23.5,,0,0
/testosterona-que-es-funciones-niveles-optimos-como-optimizarla/,6,0,57,,0,0
/peptidos-para-longevidad-ciencia-antienvejecimiento/,5,6,14.8,69,0,0
/product/picolinato-de-zinc/,5,0,42.6,,0,0
/que-son-los-peptidos/,5,0,3.2,,0,0
/tirzepatida-para-que-sirve/,5,0,8.4,,0,0
/acelerar-el-metabolismo/,4,3,10.5,19,0,0
/nad-que-es-y-para-que-sirve/,4,0,6.75,,0,0
/optimizar-rendimiento-deportivo-suplementos-peptidos/,4,1,32.75,179,0,0
/peptidos-para-bajar-de-peso/,4,0,46.75,,0,0
/product-category/performance-top/,4,4,6.25,6.25,0,0
/product-category/suplementos/,4,0,12.25,,0,0
/product/cagrilintida-10mg/,4,0,5.75,,0,0
/tirzepatida-vs-semaglutida/,4,0,36.5,,0,0
/estudio-triumph-1-retatrutide/,3,0,7.666666666666667,,0,0
/perdida-de-grasa-con-peptidos/,3,0,65,,0,0
/product-category/metabolismo-activo/,3,20,9.333333333333334,20.75,0,0
/recuperacion-muscular/,3,0,6.333333333333333,,0,0
/retatrutide-peptido-triple-agonista-perdida-de-peso/,3,0,16.333333333333336,,0,0
/semaglutida-para-bajar-de-peso/,3,0,8.666666666666668,,0,0
/blog/page/3/,2,0,14.5,,0,0
/dataset-peptidos/,2,0,9,,0,0
/ozempic-vs-mounjaro-vs-zepbound/,2,0,44.5,,0,0
/peptidos-para-bajar-de-peso-glp-1-mexico-2026/,2,0,9,,0,0
/peptidos-que-son-para-que-sirven-como-usarlos/,2,0,47,,0,0
/rendimiento-deportivo/,2,0,6.5,,0,0
/retatrutida-vs-tirzepatida/,2,0,4.5,,0,0
/retatrutide-que-es/,2,0,10.5,,0,0
/tirzepatida-para-que-sirve-guia-completa-mexico-2026/,2,0,7,,0,0
/agua-bacteriostatica-que-es/,1,0,4,,0,0
/blog/page/2/,1,0,7,,0,0
/bpc-157-que-es-evidencia-cientifica-seguridad/,1,8,2,7.25,0,0
/category/longevidad-y-regeneracion-biologica/,1,0,28,,0,0
/como-acelerar-el-metabolismo/,1,0,15,,0,0
/como-bajar-de-peso/,1,0,10,,0,0
/comparativas/,1,0,10,,0,0
/longevidad-significado-peptidos-2026/,1,0,8,,0,0
/marca/pys/,1,0,6,,0,0
/ozempic-vs-mounjaro-vs-zepbound-comparativa-glp-1-mexico-2026/,1,0,70,,0,0
/peptidos-glp-1-adicciones-evidencia-cientifica/,1,0,2,,0,0
/peptidos-para-masa-muscular/,1,0,20,,0,0
/product-category/recuperacion-rapida/,1,4,5,6,0,0
/product/agua-bacteriostatica-10ml/,1,4,9,9.75,0,0
/selank-que-es-para-que-sirve-beneficios-dosis/,1,0,8,,0,0
/tb-500-peptido-recuperacion-atletas/,1,0,5,,0,0
/terminos-y-condiciones/,1,0,4,,0,0
